0.8134,0.8136,0.8141,0.8151,0.8154,0.8168,0.8187,0.8193,0.8202,0.8212,0.8256,0.8306,0.8345,0.8406,0.7918,0.8446,0.8492,0.8565,0.7771,0.8471,0.8504,0.8559,0.8557,0.8623,0.8615,0.8628,0.8657,0.8666,0.8696,0.87,0.8749
0.8059,0.8091,0.8088,0.8105,0.8126,0.8135,0.8134,0.8147,0.8159,0.8172,0.8241,0.8293,0.8287,0.8351,0.8399,0.8457,0.8482,0.8564,0.8592,0.8582,0.8616,0.8599,0.8632,0.8653,0.8659,0.8669,0.8684,0.8675,0.8706,0.8712,0.873
0.8116,0.8124,0.8138,0.8144,0.8144,0.8144,0.8153,0.8159,0.8167,0.8177,0.8168,0.8203,0.8275,0.8437,0.8459,0.8506,0.8549,0.8553,0.8553,0.8579,0.8585,0.8614,0.8631,0.8674,0.8678,0.8698,0.8738,0.8736,0.8762,0.8773,0.8803
0.8172,0.8176,0.8186,0.8187,0.8197,0.8198,0.8222,0.8211,0.8219,0.8221,0.822,0.8313,0.8359,0.839,0.846,0.8505,0.8547,0.7567,0.8499,0.8545,0.8589,0.8618,0.7623,0.8564,0.8633,0.8671,0.8692,0.8719,0.7724,0.8671,0.8697
0.8155,0.8185,0.8191,0.8181,0.8188,0.8185,0.8204,0.8216,0.8225,0.8226,0.8272,0.8316,0.84,0.852,0.856,0.7626,0.8524,0.8561,0.8615,0.8667,0.8655,0.7651,0.8564,0.86,0.8659,0.8681,0.7682,0.8617,0.8652,0.8677,0.8717
0.8105,0.8134,0.8142,0.8147,0.8155,0.8169,0.8176,0.8198,0.8195,0.82,0.8209,0.8292,0.8351,0.8394,0.7472,0.8409,0.8444,0.8509,0.753,0.8496,0.8489,0.8548,0.8605,0.7608,0.8567,0.8585,0.8655,0.7673,0.8608,0.8635,0.8711
0.8096,0.8128,0.8142,0.8153,0.8158,0.8169,0.8199,0.8203,0.8208,0.8224,0.8246,0.8342,0.8367,0.8396,0.7487,0.8425,0.8432,0.8461,0.7539,0.8456,0.8512,0.8504,0.7611,0.8519,0.852,0.8558,0.7633,0.8556,0.8584,0.8595,0.8619
0.8085,0.8112,0.8114,0.8123,0.8131,0.8133,0.8158,0.8156,0.8184,0.8195,0.8233,0.8278,0.8309,0.8401,0.7498,0.8426,0.8476,0.8509,0.7616,0.8476,0.8503,0.8574,0.8613,0.7634,0.8514,0.8555,0.8576,0.8644,0.768,0.8599,0.8611
0.8128,0.8159,0.8168,0.8173,0.8175,0.8183,0.8194,0.8194,0.8197,0.8204,0.8233,0.8338,0.8355,0.8385,0.8241,0.841,0.8325,0.8463,0.8332,0.849,0.8399,0.8518,0.8337,0.8548,0.8544,0.8588,0.8186,0.8582,0.8625,0.8137,0.8629
0.8078,0.8085,0.8093,0.8103,0.8105,0.8116,0.8123,0.813,0.8149,0.8151,0.8188,0.8311,0.835,0.8385,0.8422,0.7485,0.845,0.8459,0.8483,0.7528,0.8472,0.8471,0.8497,0.8601,0.8612,0.8618,0.8631,0.8656,0.8658,0.8697,0.8707
